City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,inarajan village,13.2736,144.7484,88.77200000000003,85,67,7.81,GU,1698041564
1,port mathurin,-19.6833,63.4167,76.64000000000001,78,7,5.65,MU,1698041564
2,qoryooley,1.7878,44.53,85.82000000000006,57,18,4.16,SO,1698041565
3,yelwa,8.8333,9.6333,75.95600000000003,69,100,1.96,NG,1698041565
4,punta arenas,-53.15,-70.9167,37.508,87,40,2.06,CL,1698041565
5,port-aux-francais,-49.35,70.2167,35.40200000000008,79,99,13.18,TF,1698041565
6,lihue,21.9789,-159.3672,78.04400000000007,83,75,5.66,US,1698041565
7,yellowknife,62.456,-114.3525,21.416000000000007,97,100,4.02,CA,1698041304
8,palmer,42.1584,-72.3287,45.62600000000009,74,100,2.06,US,1698041297
9,fort bragg,35.139,-79.006,52.82600000000009,80,0,0.0,US,1698041566
10,nikolayevsk-on-amure,53.1406,140.73,39.254000000000055,47,70,4.88,RU,1698041566
11,ceeldheer,3.8488,47.1806,84.12800000000007,69,19,4.69,SO,1698041566
12,tiksi,71.6872,128.8694,16.232000000000017,97,100,2.85,RU,1698041566
13,albany,42.6001,-73.9662,43.52000000000006,79,100,4.92,US,1698041446
14,alofi,-19.0595,-169.9187,75.092,88,75,3.09,NU,1698041567
15,st. john's,47.5649,-52.7093,46.97600000000009,95,100,2.68,CA,1698041452
16,dawei,14.0833,98.2,88.41200000000006,61,81,1.04,MM,1698041372
17,malangawa,26.8568,85.5581,84.39800000000002,50,1,1.19,NP,1698041567
18,ust-nera,64.5667,143.2,17.40200000000008,96,100,1.82,RU,1698041567
19,talnakh,69.4865,88.3972,29.210000000000083,88,100,5.76,RU,1698041431
20,luderitz,-26.6481,15.1594,60.78200000000002,80,15,0.43,NA,1698041568
21,nehe,48.4833,124.8333,58.80200000000008,28,0,5.33,CN,1698041568
22,bilibino,68.0546,166.4372,18.57200000000004,93,100,0.89,RU,1698041568
23,whitehorse,60.7161,-135.0538,16.808000000000003,66,25,1.79,CA,1698041318
24,afaahiti,-17.75,-149.2833,78.674,85,34,6.12,PF,1698041568
25,tannum sands,-23.9504,151.3693,80.74400000000007,57,17,7.2,AU,1698041569
26,flying fish cove,-10.4217,105.6791,83.87600000000009,69,15,4.12,CX,1698041569
27,ushuaia,-54.8,-68.3,33.728000000000065,94,59,2.44,AR,1698041569
28,waitangi,-43.9535,-176.5597,47.82200000000004,77,85,0.45,NZ,1698041569
29,grytviken,-54.2811,-36.5092,29.390000000000022,88,94,6.87,GS,1698041569
30,papatowai,-46.5619,169.4708,54.320000000000064,64,94,2.17,NZ,1698041570
31,west island,-12.1568,96.8225,82.38200000000002,65,78,5.66,CC,1698041570
32,thompson,55.7435,-97.8558,21.36200000000006,79,0,1.03,CA,1698041570
33,holualoa,19.6228,-155.9522,75.03800000000004,84,0,1.54,US,1698041570
34,port elizabeth,-33.918,25.5701,62.88800000000005,67,0,5.66,ZA,1698041570
35,queenstown,-31.8976,26.8753,55.05800000000001,66,91,1.79,ZA,1698041571
36,bodaybo,57.8506,114.1933,38.06600000000001,53,87,5.5,RU,1698041376
37,blackmans bay,-43.0167,147.3167,65.516,61,68,1.34,AU,1698041571
38,cobija,-11.0267,-68.7692,76.424,75,100,1.02,BO,1698041534
39,kununurra,-15.7667,128.7333,102.18200000000002,22,17,4.63,AU,1698041571
40,trinidad,-14.8333,-64.9,82.292,36,16,2.2,BO,1698041571
41,nizhneudinsk,54.9076,99.0276,52.10600000000003,46,46,4.0,RU,1698041409
42,tofol,5.3248,163.0078,87.58399999999999,70,75,2.06,FM,1698041572
43,adamstown,-25.066,-130.1015,73.07600000000009,80,37,4.62,PN,1698041572
44,hamilton,39.1834,-84.5333,42.98000000000004,91,0,1.54,US,1698041572
45,n'dalatando,-9.2978,14.9116,70.98800000000004,83,99,1.16,AO,1698041572
46,invercargill,-46.4,168.35,55.022000000000034,67,99,1.34,NZ,1698041572
47,puerto natales,-51.7236,-72.4875,33.27800000000006,95,35,1.44,CL,1698041572
48,sailana,23.4667,74.9167,86.82800000000006,27,2,0.89,IN,1698041573
